"","Year","Country","NumIncidents","NumFatalities","NumWounded","Region","Religion"
"127",1973,"Honduras",1,0,0,"Latin America","Catholic"
"128",1973,"Iran",4,1,0,"Middle East & N. Africa","Muslim"
"129",1973,"Ireland",3,4,0,"Europe & Central Asia","Catholic"
"130",1973,"Israel",1,2,18,"Middle East & N. Africa","Jewish"
"131",1973,"Italy",15,62,51,"Europe & Central Asia","Catholic"
"132",1973,"Japan",2,0,0,"East Asia & Pacific","None/Other"
"133",1973,"Jordan",1,0,0,"Middle East & N. Africa","Muslim"
"134",1973,"Lebanon",11,4,0,"Middle East & N. Africa","Muslim"
"135",1973,"Malaysia",1,0,8,"East Asia & Pacific","Muslim"
"136",1973,"Mexico",6,1,0,"Latin America","Catholic"
"137",1973,"Morocco",2,0,0,"Middle East & N. Africa","Muslim"
"138",1973,"Myanmar",1,0,0,"East Asia & Pacific","Buddhist"
"139",1973,"Netherlands",1,1,1,"Europe & Central Asia","None/Other"
"140",1973,"New Zealand",1,0,0,"East Asia & Pacific","Christian"
"141",1973,"Northern Ireland",175,205,0,"Europe & Central Asia","Catholic"
"142",1973,"Peru",3,0,0,"Latin America","Catholic"
"143",1973,"Portugal",1,0,1,"Europe & Central Asia","Catholic"
"144",1973,"Puerto Rico",4,0,0,"Latin America","Catholic"
"145",1973,"Serbia",1,1,7,"Europe & Central Asia","Orthodox"
"146",1973,"Spain",21,6,2,"Europe & Central Asia","Catholic"
"147",1973,"Sudan",1,3,0,"Sub-Saharan Africa","Muslim"
"148",1973,"Switzerland",2,0,0,"Europe & Central Asia","Catholic"
"149",1973,"United States",54,45,33,"North America","Christian"
"150",1973,"Venezuela",4,0,0,"Latin America","Catholic"
"151",1973,"West Germany (FRG)",27,1,1,"Europe & Central Asia","Christian"
"152",1973,"Zambia",1,2,0,"Sub-Saharan Africa","Christian"
"153",1974,"Andorra",1,0,0,"Europe & Central Asia","Catholic"
"154",1974,"Argentina",71,21,12,"Latin America","Catholic"
"155",1974,"Australia",1,0,0,"East Asia & Pacific","Christian"
"156",1974,"Austria",1,0,0,"Europe & Central Asia","Catholic"
"157",1974,"Belgium",5,0,1,"Europe & Central Asia","Catholic"
"158",1974,"Bolivia",1,0,0,"Latin America","Catholic"
"159",1974,"Botswana",1,1,0,"Sub-Saharan Africa","Christian"
"160",1974,"Canada",1,0,0,"North America","Catholic"
"161",1974,"Chad",1,0,0,"Sub-Saharan Africa","Muslim"
"162",1974,"Dominican Republic",2,0,0,"Latin America","Catholic"
"163",1974,"Ecuador",3,0,2,"Latin America","Catholic"
"164",1974,"El Salvador",3,0,3,"Latin America","Catholic"
"165",1974,"Ethiopia",4,3,0,"Sub-Saharan Africa","Orthodox"
"166",1974,"France",29,3,32,"Europe & Central Asia","Catholic"
"167",1974,"Germany",1,1,0,"Europe & Central Asia","Christian"
"168",1974,"Great Britain",39,47,329,"Europe & Central Asia","Christian"
"169",1974,"Greece",6,92,0,"Europe & Central Asia","Orthodox"
"170",1974,"Guatemala",1,0,0,"Latin America","Catholic"
"171",1974,"Haiti",2,0,0,"Latin America","Catholic"
"172",1974,"Iran",11,1,0,"Middle East & N. Africa","Muslim"
"173",1974,"Ireland",3,34,0,"Europe & Central Asia","Catholic"
"174",1974,"Israel",12,78,145,"Middle East & N. Africa","Jewish"
"175",1974,"Italy",22,26,48,"Europe & Central Asia","Catholic"
"176",1974,"Jamaica",2,0,0,"Latin America","Christian"
"177",1974,"Japan",3,0,7,"East Asia & Pacific","None/Other"
"178",1974,"Kuwait",1,0,0,"Middle East & N. Africa","Muslim"
"179",1974,"Lebanon",11,0,10,"Middle East & N. Africa","Muslim"
"180",1974,"Mexico",16,2,0,"Latin America","Catholic"
"181",1974,"Netherlands",2,1,0,"Europe & Central Asia","None/Other"
"182",1974,"Nicaragua",1,0,0,"Latin America","Catholic"
"183",1974,"Northern Ireland",163,188,0,"Europe & Central Asia","Catholic"
"184",1974,"Pakistan",2,0,2,"South Asia","Muslim"
"185",1974,"Peru",3,0,15,"Latin America","Catholic"
"186",1974,"Philippines",1,3,0,"East Asia & Pacific","Catholic"
"187",1974,"Puerto Rico",19,0,4,"Latin America","Catholic"
"188",1974,"Serbia",1,0,0,"Europe & Central Asia","Orthodox"
"189",1974,"Singapore",1,0,0,"East Asia & Pacific","Buddhist"
"190",1974,"South Africa",1,0,1,"Sub-Saharan Africa","Christian"
"191",1974,"South Korea",1,1,0,"East Asia & Pacific","None/Other"
"192",1974,"Spain",14,19,70,"Europe & Central Asia","Catholic"
"193",1974,"Switzerland",3,0,0,"Europe & Central Asia","Catholic"
"194",1974,"Syria",4,1,9,"Middle East & N. Africa","Muslim"
"195",1974,"Thailand",1,2,0,"East Asia & Pacific","Buddhist"
"196",1974,"Turkey",1,0,1,"Middle East & N. Africa","Muslim"
"197",1974,"United Arab Emirates",1,1,2,"Middle East & N. Africa","Muslim"
"198",1974,"United States",75,16,50,"North America","Christian"
"199",1974,"Venezuela",3,0,0,"Latin America","Catholic"
"200",1974,"West Germany (FRG)",28,1,10,"Europe & Central Asia","Christian"
"201",1974,"Yemen",1,0,1,"Middle East & N. Africa","Muslim"
"202",1975,"Argentina",38,123,16,"Latin America","Catholic"
"203",1975,"Austria",2,4,11,"Europe & Central Asia","Catholic"
"204",1975,"Colombia",10,7,0,"Latin America","Catholic"
"205",1975,"Cyprus",2,0,1,"Middle East & N. Africa","Orthodox"
"206",1975,"El Salvador",3,2,0,"Latin America","Catholic"
"207",1975,"Ethiopia",4,0,0,"Sub-Saharan Africa","Orthodox"
"208",1975,"France",39,3,25,"Europe & Central Asia","Catholic"
"209",1975,"Great Britain",30,16,130,"Europe & Central Asia","Christian"
"210",1975,"Greece",4,1,0,"Europe & Central Asia","Orthodox"
"211",1975,"Guatemala",5,23,1,"Latin America","Catholic"
"212",1975,"India",1,4,0,"South Asia","Hindu"
"213",1975,"Iran",13,8,0,"Middle East & N. Africa","Muslim"
"214",1975,"Iraq",1,0,1,"Middle East & N. Africa","Muslim"
"215",1975,"Ireland",7,7,0,"Europe & Central Asia","Catholic"
"216",1975,"Israel",2,24,62,"Middle East & N. Africa","Jewish"
"217",1975,"Italy",7,0,0,"Europe & Central Asia","Catholic"
"218",1975,"Japan",12,0,2,"East Asia & Pacific","None/Other"
"219",1975,"Kenya",4,27,100,"Sub-Saharan Africa","Christian"
"220",1975,"Kuwait",1,0,0,"Middle East & N. Africa","Muslim"
"221",1975,"Lebanon",15,28,29,"Middle East & N. Africa","Muslim"
"222",1975,"Malaysia",3,0,0,"East Asia & Pacific","Muslim"
"223",1975,"Mexico",10,32,5,"Latin America","Catholic"
"224",1975,"Netherlands",4,4,2,"Europe & Central Asia","None/Other"
"225",1975,"Nicaragua",1,11,0,"Latin America","Catholic"
"226",1975,"Northern Ireland",165,229,0,"Europe & Central Asia","Catholic"
"227",1975,"Pakistan",2,1,0,"South Asia","Muslim"
"228",1975,"Peru",2,0,0,"Latin America","Catholic"
"229",1975,"Philippines",4,1,45,"East Asia & Pacific","Catholic"
"230",1975,"Portugal",4,0,0,"Europe & Central Asia","Catholic"
"231",1975,"Puerto Rico",8,2,12,"Latin America","Catholic"
"232",1975,"Somalia",1,0,0,"Sub-Saharan Africa","Muslim"
"233",1975,"South Africa",1,1,0,"Sub-Saharan Africa","Christian"
"234",1975,"Spain",136,31,2,"Europe & Central Asia","Catholic"
"235",1975,"Sri Lanka",1,1,0,"South Asia","Buddhist"
"236",1975,"Sweden",1,3,13,"Europe & Central Asia","Christian"
"237",1975,"Switzerland",3,0,0,"Europe & Central Asia","Catholic"
"238",1975,"Syria",2,0,0,"Middle East & N. Africa","Muslim"
"239",1975,"Tanzania",1,0,0,"Sub-Saharan Africa","Muslim"
"240",1975,"Turkey",10,0,0,"Middle East & N. Africa","Muslim"
"241",1975,"United States",141,22,146,"North America","Christian"
"242",1975,"Venezuela",5,0,0,"Latin America","Catholic"
"243",1975,"West Germany (FRG)",35,1,12,"Europe & Central Asia","Christian"
"244",1975,"Zambia",1,1,0,"Sub-Saharan Africa","Christian"
"245",1976,"Algeria",1,0,0,"Middle East & N. Africa","Muslim"
"246",1976,"Argentina",54,122,90,"Latin America","Catholic"
"247",1976,"Austria",4,0,0,"Europe & Central Asia","Catholic"
"248",1976,"Bahamas",1,0,0,"Latin America","Christian"
"249",1976,"Barbados",2,73,0,"Latin America","Christian"
"250",1976,"Belgium",1,0,0,"Europe & Central Asia","Catholic"
"251",1976,"Bolivia",1,0,0,"Latin America","Catholic"
"252",1976,"Brazil",5,0,1,"Latin America","Catholic"
"253",1976,"Chile",2,0,1,"Latin America","Catholic"
"254",1976,"Colombia",22,10,13,"Latin America","Catholic"
"255",1976,"Costa Rica",12,0,6,"Latin America","Catholic"
"256",1976,"Ecuador",2,1,1,"Latin America","Catholic"
"257",1976,"El Salvador",13,3,1,"Latin America","Catholic"
"258",1976,"Ethiopia",5,0,0,"Sub-Saharan Africa","Orthodox"
"259",1976,"France",58,7,10,"Europe & Central Asia","Catholic"
"260",1976,"Great Britain",5,3,19,"Europe & Central Asia","Christian"
"261",1976,"Greece",21,14,1,"Europe & Central Asia","Orthodox"
"262",1976,"Guatemala",13,8,8,"Latin America","Catholic"
"263",1976,"India",1,0,0,"South Asia","Hindu"
"264",1976,"Iran",4,5,0,"Middle East & N. Africa","Muslim"
"265",1976,"Iraq",3,12,285,"Middle East & N. Africa","Muslim"
"266",1976,"Ireland",5,5,0,"Europe & Central Asia","Catholic"
"267",1976,"Israel",2,1,39,"Middle East & N. Africa","Jewish"
"268",1976,"Italy",174,10,38,"Europe & Central Asia","Catholic"
"269",1976,"Jamaica",1,0,0,"Latin America","Christian"
"270",1976,"Japan",1,2,0,"East Asia & Pacific","None/Other"
"271",1976,"Jordan",1,9,5,"Middle East & N. Africa","Muslim"
"272",1976,"Kenya",2,0,0,"Sub-Saharan Africa","Christian"
"273",1976,"Kuwait",1,0,0,"Middle East & N. Africa","Muslim"
"274",1976,"Lebanon",4,4,1,"Middle East & N. Africa","Muslim"
"275",1976,"Mexico",20,26,5,"Latin America","Catholic"
"276",1976,"Morocco",1,0,0,"Middle East & N. Africa","Muslim"
"277",1976,"Myanmar",2,0,0,"East Asia & Pacific","Buddhist"
"278",1976,"Namibia",2,3,0,"Sub-Saharan Africa","Christian"
"279",1976,"Netherlands",3,0,0,"Europe & Central Asia","None/Other"
"280",1976,"Northern Ireland",189,261,0,"Europe & Central Asia","Catholic"
"281",1976,"Pakistan",3,1,3,"South Asia","Muslim"
"282",1976,"Panama",2,0,0,"Latin America","Catholic"
"283",1976,"Paraguay",1,1,0,"Latin America","Catholic"
"284",1976,"Philippines",10,47,73,"East Asia & Pacific","Catholic"
"285",1976,"Portugal",15,3,11,"Europe & Central Asia","Catholic"
"286",1976,"Puerto Rico",1,0,0,"Latin America","Catholic"
"287",1976,"South Africa",1,2,0,"Sub-Saharan Africa","Christian"
"288",1976,"Spain",50,17,5,"Europe & Central Asia","Catholic"
"289",1976,"Switzerland",4,0,0,"Europe & Central Asia","Catholic"
"290",1976,"Syria",2,5,35,"Middle East & N. Africa","Muslim"
"291",1976,"Taiwan",1,0,1,"East Asia & Pacific","Buddhist"
"292",1976,"Trinidad and Tobago",1,0,3,"Latin America","Christian"
"293",1976,"Turkey",35,7,23,"Middle East & N. Africa","Muslim"
"294",1976,"United States",104,4,41,"North America","Christian"
"295",1976,"Venezuela",4,0,0,"Latin America","Catholic"
"296",1976,"West Bank and Gaza Strip",1,2,0,"Middle East & N. Africa","Muslim"
"297",1976,"West Germany (FRG)",50,4,36,"Europe & Central Asia","Christian"
"298",1977,"Angola",1,0,0,"Sub-Saharan Africa","None/Other"
"299",1977,"Argentina",17,7,12,"Latin America","Catholic"
"300",1977,"Austria",5,1,1,"Europe & Central Asia","Catholic"
"301",1977,"Bangladesh",1,0,1,"South Asia","Muslim"
"302",1977,"Belgium",1,0,0,"Europe & Central Asia","Catholic"
"303",1977,"Bolivia",1,0,0,"Latin America","Catholic"
"304",1977,"Brazil",1,0,1,"Latin America","Catholic"
"305",1977,"Chile",6,0,0,"Latin America","Catholic"
"306",1977,"Colombia",80,38,29,"Latin America","Catholic"
"307",1977,"Congo (Brazzaville)",2,0,0,"Sub-Saharan Africa","Catholic"
"308",1977,"Congo (Kinshasa)",1,1,0,"Sub-Saharan Africa","Catholic"
"309",1977,"Costa Rica",5,0,0,"Latin America","Catholic"
"310",1977,"Cyprus",1,0,0,"Middle East & N. Africa","Orthodox"
"311",1977,"Djibouti",1,1,1,"Sub-Saharan Africa","Muslim"
"312",1977,"Ecuador",7,1,0,"Latin America","Catholic"
"313",1977,"Egypt",1,1,0,"Middle East & N. Africa","Muslim"
"314",1977,"El Salvador",6,4,0,"Latin America","Catholic"
"315",1977,"Ethiopia",4,5,0,"Sub-Saharan Africa","Orthodox"
"316",1977,"France",53,3,7,"Europe & Central Asia","Catholic"
"317",1977,"Germany",1,0,0,"Europe & Central Asia","Christian"
"318",1977,"Great Britain",7,3,14,"Europe & Central Asia","Christian"
"319",1977,"Greece",47,1,1,"Europe & Central Asia","Orthodox"
"320",1977,"Guatemala",8,6,0,"Latin America","Catholic"
"321",1977,"India",1,0,0,"South Asia","Hindu"
"322",1977,"Indonesia",1,1,1,"East Asia & Pacific","Muslim"
"323",1977,"Iran",5,2,1,"Middle East & N. Africa","Muslim"
"324",1977,"Ireland",3,2,0,"Europe & Central Asia","Catholic"
"325",1977,"Israel",6,5,24,"Middle East & N. Africa","Jewish"
"326",1977,"Italy",308,25,57,"Europe & Central Asia","Catholic"
"327",1977,"Japan",4,0,0,"East Asia & Pacific","None/Other"
"328",1977,"Lebanon",4,3,1,"Middle East & N. Africa","Muslim"
"329",1977,"Malaysia",2,100,1,"East Asia & Pacific","Muslim"
"330",1977,"Malta",1,1,0,"Europe & Central Asia","Catholic"
"331",1977,"Mauritania",4,4,0,"Sub-Saharan Africa","Muslim"
"332",1977,"Mexico",19,11,15,"Latin America","Catholic"
"333",1977,"Netherlands",6,9,1,"Europe & Central Asia","None/Other"
"334",1977,"Nicaragua",5,26,12,"Latin America","Catholic"
"335",1977,"Northern Ireland",133,100,3,"Europe & Central Asia","Catholic"
"336",1977,"Peru",4,0,0,"Latin America","Catholic"
"337",1977,"Philippines",2,0,0,"East Asia & Pacific","Catholic"
"338",1977,"Portugal",15,0,11,"Europe & Central Asia","Catholic"
"339",1977,"Puerto Rico",8,0,1,"Latin America","Catholic"
"340",1977,"Saudi Arabia",1,0,0,"Middle East & N. Africa","Muslim"
"341",1977,"Serbia",1,1,7,"Europe & Central Asia","Orthodox"
"342",1977,"South Africa",15,5,35,"Sub-Saharan Africa","Christian"
"343",1977,"Spain",147,44,101,"Europe & Central Asia","Catholic"
"344",1977,"Switzerland",4,0,3,"Europe & Central Asia","Catholic"
"345",1977,"Syria",3,1,0,"Middle East & N. Africa","Muslim"
"346",1977,"Thailand",3,1,70,"East Asia & Pacific","Buddhist"
"347",1977,"Turkey",189,29,89,"Middle East & N. Africa","Muslim"
"348",1977,"United Arab Emirates",1,1,0,"Middle East & N. Africa","Muslim"
"349",1977,"United States",121,4,16,"North America","Christian"
"350",1977,"Venezuela",3,1,0,"Latin America","Catholic"
"351",1977,"West Germany (FRG)",40,4,2,"Europe & Central Asia","Christian"
"352",1977,"Yemen",1,1,0,"Middle East & N. Africa","Muslim"
"353",1977,"Zambia",1,1,0,"Sub-Saharan Africa","Christian"
"354",1978,"Algeria",1,0,1,"Middle East & N. Africa","Muslim"
"355",1978,"Angola",2,0,40,"Sub-Saharan Africa","None/Other"
"356",1978,"Argentina",25,13,11,"Latin America","Catholic"
"357",1978,"Australia",2,2,9,"East Asia & Pacific","Christian"
"358",1978,"Austria",1,0,0,"Europe & Central Asia","Catholic"
"359",1978,"Belgium",8,1,0,"Europe & Central Asia","Catholic"
"360",1978,"Bolivia",3,0,0,"Latin America","Catholic"
"361",1978,"Brazil",5,1,1,"Latin America","Catholic"
"362",1978,"Cambodia",1,1,0,"East Asia & Pacific","Buddhist"
"363",1978,"Chile",8,0,2,"Latin America","Catholic"
"364",1978,"Colombia",158,71,23,"Latin America","Catholic"
"365",1978,"Costa Rica",2,0,0,"Latin America","Catholic"
"366",1978,"Cyprus",2,16,1,"Middle East & N. Africa","Orthodox"
"367",1978,"Denmark",1,0,0,"Europe & Central Asia","Christian"
"368",1978,"Dominican Republic",1,3,0,"Latin America","Catholic"
"369",1978,"Ecuador",11,2,9,"Latin America","Catholic"
"370",1978,"Egypt",2,2,0,"Middle East & N. Africa","Muslim"
"371",1978,"El Salvador",91,33,37,"Latin America","Catholic"
"372",1978,"Ethiopia",2,25,0,"Sub-Saharan Africa","Orthodox"
"373",1978,"France",59,21,17,"Europe & Central Asia","Catholic"
"374",1978,"Germany",1,0,1,"Europe & Central Asia","Christian"
"375",1978,"Great Britain",19,4,31,"Europe & Central Asia","Christian"
"376",1978,"Greece",39,0,4,"Europe & Central Asia","Orthodox"
"377",1978,"Guatemala",29,35,18,"Latin America","Catholic"
"378",1978,"Guyana",1,5,0,"Latin America","Christian"
"379",1978,"Indonesia",2,0,1,"East Asia & Pacific","Muslim"
"380",1978,"Iran",27,447,60,"Middle East & N. Africa","Muslim"
"381",1978,"Ireland",3,1,0,"Europe & Central Asia","Catholic"
"382",1978,"Israel",23,52,259,"Middle East & N. Africa","Jewish"
"383",1978,"Italy",277,21,46,"Europe & Central Asia","Catholic"
"384",1978,"Japan",35,4,53,"East Asia & Pacific","None/Other"
"385",1978,"Kenya",1,4,0,"Sub-Saharan Africa","Christian"
"386",1978,"Kuwait",1,1,0,"Middle East & N. Africa","Muslim"
"387",1978,"Lebanon",12,107,173,"Middle East & N. Africa","Muslim"
"388",1978,"Mexico",30,7,18,"Latin America","Catholic"
"389",1978,"Morocco",1,10,0,"Middle East & N. Africa","Muslim"
"390",1978,"Mozambique",2,2,6,"Sub-Saharan Africa","Catholic"
"391",1978,"Namibia",7,2,5,"Sub-Saharan Africa","Christian"
"392",1978,"Netherlands",3,1,16,"Europe & Central Asia","None/Other"
"393",1978,"Nicaragua",76,93,88,"Latin America","Catholic"
"394",1978,"Northern Ireland",81,77,82,"Europe & Central Asia","Catholic"
"395",1978,"Pakistan",2,5,2,"South Asia","Muslim"
"396",1978,"Peru",4,0,0,"Latin America","Catholic"
"397",1978,"Philippines",36,128,193,"East Asia & Pacific","Catholic"
"398",1978,"Portugal",4,0,11,"Europe & Central Asia","Catholic"
"399",1978,"Puerto Rico",31,4,0,"Latin America","Catholic"
"400",1978,"Rhodesia",19,73,7,"Sub-Saharan Africa","Christian"
"401",1978,"South Africa",10,6,63,"Sub-Saharan Africa","Christian"
"402",1978,"Soviet Union",1,4,0,"Europe & Central Asia","Orthodox"
"403",1978,"Spain",209,84,123,"Europe & Central Asia","Catholic"
"404",1978,"Sweden",1,0,0,"Europe & Central Asia","Christian"
"405",1978,"Switzerland",3,0,0,"Europe & Central Asia","Catholic"
"406",1978,"Syria",1,0,0,"Middle East & N. Africa","Muslim"
"407",1978,"Thailand",5,29,25,"East Asia & Pacific","Buddhist"
"408",1978,"Turkey",52,40,111,"Middle East & N. Africa","Muslim"
"409",1978,"United Arab Emirates",1,5,0,"Middle East & N. Africa","Muslim"
